date,score
2020/05/01,2.1332893285574186
2020/05/02,2.12631786403417
2020/05/03,2.1213031799872004
2020/05/07,2.1258281986283145
2020/05/08,2.094418751977774
2020/05/09,2.0857650010092827
2020/05/10,2.081575808173008
2020/05/11,2.0786870323601074
2020/05/12,2.0918807519814058
2020/05/13,2.1275376192438635
2020/05/14,2.147633907384987
2020/05/15,2.1460805018614177
2020/05/16,2.1322399853328906
2020/05/17,2.1581673597935205
2020/05/18,2.1478922579275253
2020/05/19,2.11015830900012
2020/05/20,2.096873930377901
2020/05/21,2.096211669015654
2020/05/22,2.077063026019284
2020/05/24,2.0254590494035503
2020/05/25,2.037971471639061
2020/05/26,2.015427757571991
2020/05/27,1.7910314902436302
2020/05/28,1.5191292742961098
2020/05/29,1.161333573153108
2020/05/30,0.8516060311055802
